Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2007,New York Yankees,AL East,94,68,2,Lost LDS (3-1),"4,271,083","52,729",1st of 14,"$207,039,045 ",100,101,Yankee Stadium II,327,-47.3,
2007,New York Mets,NL East,88,74,2,,"3,853,955","47,580",2nd of 16,"$116,181,663 ",97,98,Shea Stadium,235,32.9,
2007,Miami Marlins,NL East,71,91,5,,"1,370,511","16,920",16th of 16,"$30,507,000 ",98,97,Dolphin Stadium,128,43.7,
2007,Minnesota Twins,AL Central,79,83,3,,"2,296,383","28,350",10th of 14,"$71,439,500 ",95,95,Hubert H. Humphrey Metrodome,149,26.8,
2007,Detroit Tigers,AL Central,88,74,2,,"3,047,133","37,619",3rd of 14,"$95,180,369 ",101,102,Comerica Park,173,-26.3,
2007,Milwaukee Brewers,NL Central,83,79,2,,"2,869,144","35,422",8th of 16,"$70,986,500 ",100,100,Miller Park,158,11.8,
2007,Los Angeles Angels,AL West,94,68,1,Lost LDS (3-0),"3,365,632","41,551",2nd of 14,"$109,251,333 ",100,101,Angel Stadium of Anaheim,200,10.3,
2007,Houston Astros,NL Central,73,89,4,,"3,020,405","37,289",7th of 16,"$87,759,000 ",100,100,Minute Maid Park,193,17,
2007,Los Angeles Dodgers,NL West,82,80,4,,"3,857,036","47,618",1st of 16,"$108,454,524 ",100,101,Dodger Stadium,224,16.5,
2007,Kansas City Royals,AL Central,69,93,5,,"1,616,867","19,961",13th of 14,"$67,691,500 ",101,100,Kauffman Stadium,131,9,
2007,Atlanta Braves,NL East,84,78,3,,"2,745,207","33,891",10th of 16,"$87,290,833 ",98,98,Turner Field,199,4.7,
2008,Baltimore Orioles,AL East,68,93,5,,"1,950,075","24,376",10th of 14,"$67,196,246 ",102,101,Oriole Park at Camden Yards,174,27.2,
2008,Chicago White Sox,AL Central,89,74,1,Lost LDS (3-1),"2,500,648","30,496",5th of 14,"$121,189,332 ",105,104,U.S. Cellular Field,196,13.8,
2008,Chicago Cubs,NL Central,97,64,1,Lost LDS (3-0),"3,300,200","40,743",5th of 16,"$120,345,833 ",106,107,Wrigley Field,239,29.7,
2008,Arizona Diamondbacks,NL West,82,80,2,,"2,509,924","30,987",11th of 16,"$66,202,712 ",107,107,Chase Field,177,3.9,
2008,Boston Red Sox,AL East,95,67,2,Lost ALCS (4-3),"3,048,250","37,633",4th of 14,"$133,390,035 ",106,107,Fenway Park,269,25.7,
2008,Cleveland Indians,AL Central,81,81,3,,"2,169,760","26,787",9th of 14,"$78,970,066 ",97,98,Progressive Field,181,19.5,
2008,Tampa Bay Rays,AL East,97,65,1,Lost WS (4-1),"1,811,986","22,370",12th of 14,"$44,970,597 ",101,101,"Ballpark at Disney's Wide World of Sports, Tropicana Field",160,29.4,
2008,Washington Nationals,NL East,59,102,5,,"2,320,400","29,005",13th of 16,"$54,961,000 ",100,98,Nationals Park,184,42.6,
2008,Texas Rangers,AL West,79,83,2,,"1,945,677","24,021",11th of 14,"$68,037,326 ",102,101,Rangers Ballpark in Arlington,176,17.4,
2008,Toronto Blue Jays,AL East,86,76,4,,"2,399,786","29,627",6th of 14,"$97,793,900 ",97,97,Rogers Centre,172,3,
2008,Cincinnati Reds,NL Central,74,88,5,,"2,058,632","25,415",14th of 16,"$74,167,695 ",102,102,Great American Ball Park,171,17,
2008,St Louis Cardinals,NL Central,86,76,4,,"3,432,917","42,382",3rd of 16,"$99,624,449 ",98,98,Busch Stadium III,195,6.6,
2008,San Francisco Giants,NL West,72,90,4,,"2,863,837","35,356",7th of 16,"$76,594,500 ",102,102,AT&T Park,196,22.4,
2008,Seattle Mariners,AL West,61,101,4,,"2,329,702","28,762",7th of 14,"$117,666,482 ",97,96,Safeco Field,189,3.8,
2008,Philadelphia Phillies,NL East,92,70,1,Won WS (4-1),"3,422,583","42,254",4th of 16,"$97,879,880 ",101,102,Citizens Bank Park,216,16.3,
2008,Pittsburgh Pirates,NL Central,67,95,6,,"1,609,076","19,865",15th of 16,"$48,689,783 ",97,96,PNC Park,144,15.9,
2008,Colorado Rockies,NL West,74,88,3,,"2,650,218","32,719",9th of 16,"$68,655,500 ",109,109,Coors Field,178,24.5,
2008,Oakland Athletics,AL West,75,86,3,,"1,665,256","20,559",13th of 14,"$47,967,126 ",94,94,"McAfee Coliseum, Tokyo Dome",160,26.2,
2008,New York Yankees,AL East,89,73,3,,"4,298,655","53,070",1st of 14,"$212,286,789 ",101,103,Yankee Stadium II,375,-3.7,
2008,New York Mets,NL East,89,73,2,,"4,042,045","49,902",1st of 16,"$137,793,376 ",98,98,Shea Stadium,261,23.5,57.6
2008,Miami Marlins,NL East,84,77,3,,"1,335,076","16,482",16th of 16,"$21,811,500 ",101,101,Dolphin Stadium,139,46.1,
2008,Minnesota Twins,AL Central,88,75,2,,"2,302,431","28,425",8th of 14,"$56,932,766 ",96,96,Hubert H. Humphrey Metrodome,158,25,
2008,Detroit Tigers,AL Central,74,88,5,,"3,202,645","39,539",3rd of 14,"$138,785,196 ",102,102,Comerica Park,186,-29.5,
2008,Milwaukee Brewers,NL Central,90,72,2,Lost LDS (3-1),"3,068,458","37,882",6th of 16,"$80,937,499 ",98,98,Miller Park,173,10.2,
2008,Los Angeles Angels,AL West,100,62,1,Lost LDS (3-1),"3,336,747","41,194",2nd of 14,"$119,216,333 ",102,102,Angel Stadium of Anaheim,212,12,
2008,Houston Astros,NL Central,86,75,3,,"2,779,487","34,744",8th of 16,"$87,946,807 ",98,97,"Minute Maid Park, Miller Park",194,7.1,
2008,Los Angeles Dodgers,NL West,84,78,1,Lost NLCS (4-1),"3,730,553","46,056",2nd of 16,"$118,588,536 ",97,98,Dodger Stadium,241,33.1,
2008,Kansas City Royals,AL Central,75,87,4,,"1,578,922","19,493",14th of 14,"$59,445,500 ",99,98,Kauffman Stadium,143,8.9,
2008,Atlanta Braves,NL East,72,90,4,,"2,532,834","31,270",10th of 16,"$102,365,683 ",97,98,Turner Field,186,1.5,
2009,Baltimore Orioles,AL East,64,98,5,,"1,907,163","23,545",9th of 14,"$69,904,166 ",102,101,Oriole Park at Camden Yards,171,19.4,
2009,Chicago White Sox,AL Central,79,83,3,,"2,284,163","28,200",6th of 14,"$101,081,000 ",105,105,U.S. Cellular Field,194,26.4,
2009,Chicago Cubs,NL Central,83,78,2,,"3,168,859","39,611",4th of 16,"$139,652,000 ",106,107,Wrigley Field,246,25.5,
2009,Arizona Diamondbacks,NL West,70,92,5,,"2,128,765","26,281",11th of 16,"$75,920,666 ",106,105,Chase Field,172,-0.6,
2009,Boston Red Sox,AL East,95,67,2,Lost LDS (3-0),"3,062,699","37,811",3rd of 14,"$125,439,499 ",104,105,Fenway Park,266,40,
2009,Cleveland Indians,AL Central,65,97,4,,"1,766,242","21,805",13th of 14,"$85,224,866 ",95,95,Progressive Field,170,10.1,
2009,Tampa Bay Rays,AL East,84,78,3,,"1,874,962","23,148",11th of 14,"$67,270,334 ",97,98,Tropicana Field,156,15.7,
2009,Washington Nationals,NL East,59,103,5,,"1,817,226","22,435",13th of 16,"$64,384,000 ",101,99,Nationals Park,184,33.5,
2009,Texas Rangers,AL West,87,75,2,,"2,156,016","26,617",8th of 14,"$79,723,548 ",104,104,Rangers Ballpark in Arlington,180,4.7,
2009,Toronto Blue Jays,AL East,75,87,4,,"1,876,129","23,162",10th of 14,"$83,964,500 ",99,100,Rogers Centre,163,13.1,
2009,Cincinnati Reds,NL Central,78,84,4,,"1,747,919","21,579",14th of 16,"$78,979,000 ",100,100,Great American Ball Park,166,17.8,
2009,St Louis Cardinals,NL Central,91,71,1,Lost LDS (3-0),"3,343,252","41,275",3rd of 16,"$90,928,409 ",97,98,Busch Stadium III,195,12.8,
2009,San Francisco Giants,NL West,88,74,3,,"2,862,110","35,335",7th of 16,"$91,944,450 ",101,102,AT&T Park,201,23.5,
2009,Seattle Mariners,AL West,85,77,3,,"2,195,533","27,105",7th of 14,"$100,134,166 ",95,94,Safeco Field,191,10.5,
2009,Philadelphia Phillies,NL East,93,69,1,Lost WS (4-2),"3,600,693","44,453",2nd of 16,"$115,479,046 ",100,101,Citizens Bank Park,233,14.5,
2009,Pittsburgh Pirates,NL Central,62,99,6,,"1,577,853","19,480",15th of 16,"$51,912,500 ",99,98,PNC Park,145,15.6,
2009,Colorado Rockies,NL West,92,70,2,Lost LDS (3-1),"2,665,080","32,902",8th of 16,"$79,250,200 ",112,112,Coors Field,183,20.1,
2009,Oakland Athletics,AL West,75,87,4,,"1,408,783","17,392",14th of 14,"$65,945,000 ",98,98,Oakland-Alameda County Coliseum,155,22.1,
2009,New York Yankees,AL East,103,59,1,Won WS (4-2),"3,719,358","45,918",1st of 14,"$210,330,039 ",103,105,Yankee Stadium III,441,24.9,
2009,New York Mets,NL East,70,92,4,,"3,168,571","39,118",5th of 16,"$151,994,237 ",97,97,Citi Field,268,26.2,98.9
2009,Miami Marlins,NL East,87,75,2,,"1,464,109","18,075",16th of 16,"$40,029,000 ",102,102,Land Shark Stadium,144,20.2,
2009,Minnesota Twins,AL Central,87,76,1,Lost LDS (3-0),"2,416,237","29,466",5th of 14,"$67,804,266 ",98,98,Hubert H. Humphrey Metrodome,162,26.5,
2009,Detroit Tigers,AL Central,86,77,2,,"2,567,165","31,693",4th of 14,"$119,510,145 ",101,101,Comerica Park,188,-29.1,
2009,Milwaukee Brewers,NL Central,80,82,3,,"3,037,451","37,499",6th of 16,"$81,384,502 ",98,98,Miller Park,171,12.4,
2009,Los Angeles Angels,AL West,97,65,1,Lost ALCS (4-2),"3,240,386","40,005",2nd of 14,"$118,169,000 ",98,99,Angel Stadium of Anaheim,217,11.8,
2009,Houston Astros,NL Central,74,88,5,,"2,521,076","31,124",9th of 16,"$105,804,414 ",98,98,Minute Maid Park,189,14.4,
2009,Los Angeles Dodgers,NL West,95,67,1,Lost NLCS (4-1),"3,761,655","46,440",1st of 16,"$102,117,592 ",95,95,Dodger Stadium,247,32.8,
2009,Kansas City Royals,AL Central,65,97,4,,"1,797,891","22,196",12th of 14,"$76,817,333 ",99,97,Kauffman Stadium,155,10.3,
2009,Atlanta Braves,NL East,86,76,3,,"2,373,631","29,304",10th of 16,"$99,593,166 ",98,99,Turner Field,188,22.2,
2010,Baltimore Orioles,AL East,66,96,5,,"1,733,019","21,395",10th of 14,"$81,612,500 ",100,99,Oriole Park at Camden Yards,175,25.5,
2010,Chicago White Sox,AL Central,88,74,2,,"2,194,378","27,091",7th of 14,"$107,195,000 ",103,103,U.S. Cellular Field,210,27.6,
2010,Chicago Cubs,NL Central,75,87,5,,"3,062,973","37,814",4th of 16,"$146,609,002 ",105,104,Wrigley Field,258,23.4,
2010,Arizona Diamondbacks,NL West,65,97,5,,"2,056,697","25,391",13th of 16,"$61,368,166 ",105,105,Chase Field,180,6.2,
2010,Boston Red Sox,AL East,89,73,3,,"3,046,445","37,610",4th of 14,"$164,507,333 ",105,106,Fenway Park,272,-1.1,
2010,Cleveland Indians,AL Central,69,93,4,,"1,391,644","17,181",14th of 14,"$61,203,966 ",95,94,Progressive Field,168,12.1,
2010,Tampa Bay Rays,AL East,96,66,1,Lost LDS (3-2),"1,864,999","23,025",9th of 14,"$71,923,471 ",94,95,Tropicana Field,166,6.8,
2010,Washington Nationals,NL East,69,93,5,,"1,828,066","22,569",14th of 16,"$67,701,000 ",100,99,Nationals Park,194,36.6,
2010,Texas Rangers,AL West,90,72,1,Lost WS (4-1),"2,505,171","30,928",5th of 14,"$56,474,374 ",108,109,Rangers Ballpark in Arlington,206,22.6,
2010,Toronto Blue Jays,AL East,85,77,4,,"1,495,482","19,173",12th of 14,"$62,734,000 ",101,102,Rogers Centre,168,3.6,
2010,Cincinnati Reds,NL Central,91,71,1,Lost LDS (3-0),"2,060,550","25,439",12th of 16,"$75,321,542 ",101,102,Great American Ball Park,179,20.1,
2010,St Louis Cardinals,NL Central,86,76,2,,"3,301,218","40,756",3rd of 16,"$93,540,751 ",96,97,Busch Stadium III,207,19.8,
2010,San Francisco Giants,NL West,92,70,1,Won WS (4-1),"3,037,443","37,499",5th of 16,"$98,641,333 ",97,97,AT&T Park,230,29.9,
2010,Seattle Mariners,AL West,61,101,4,,"2,085,630","25,749",8th of 14,"$86,510,000 ",95,93,Safeco Field,204,9.9,
2010,Philadelphia Phillies,NL East,97,65,1,Lost NLCS (4-2),"3,777,322","44,968",1st of 16,"$141,928,379 ",101,102,Citizens Bank Park,239,8.9,
2010,Pittsburgh Pirates,NL Central,57,105,6,,"1,613,399","19,919",15th of 16,"$37,443,000 ",100,98,PNC Park,160,24.6,
2010,Colorado Rockies,NL West,83,79,3,,"2,875,245","35,497",6th of 16,"$90,677,000 ",115,115,Coors Field,188,16.3,
2010,Oakland Athletics,AL West,81,81,2,,"1,418,391","17,511",13th of 14,"$57,904,900 ",99,99,Oakland-Alameda County Coliseum,161,23.2,
2010,New York Yankees,AL East,95,67,2,Lost ALCS (4-2),"3,765,807","46,491",1st of 14,"$210,733,389 ",104,106,Yankee Stadium III,427,25.7,
2010,New York Mets,NL East,79,83,4,,"2,559,738","31,602",8th of 16,"$134,422,942 ",97,97,Citi Field,233,-6.2,52.5
2010,Miami Marlins,NL East,80,82,3,,"1,524,894","18,826",16th of 16,"$57,454,719 ",103,103,"Sun Life Stadium, Estadio Hiram Bithorn",143,8.9,
2010,Minnesota Twins,AL Central,94,68,1,Lost LDS (3-0),"3,223,640","39,798",3rd of 14,"$97,559,166 ",98,98,Target Field,213,16.6,
2010,Detroit Tigers,AL Central,81,81,3,,"2,461,237","30,386",6th of 14,"$124,039,928 ",101,102,Comerica Park,192,8.2,
2010,Milwaukee Brewers,NL Central,77,85,3,,"2,776,531","34,278",7th of 16,"$81,108,278 ",100,100,Miller Park,179,19.2,
2010,Los Angeles Angels,AL West,80,82,3,,"3,250,814","40,134",2nd of 14,"$104,963,866 ",96,96,Angel Stadium of Anaheim,222,-1.2,
2010,Houston Astros,NL Central,76,86,4,,"2,331,490","28,784",10th of 16,"$93,216,000 ",98,97,Minute Maid Park,197,24.3,
2010,Los Angeles Dodgers,NL West,80,82,4,,"3,562,320","43,979",2nd of 16,"$95,358,016 ",96,96,Dodger Stadium,246,1.2,
2010,Kansas City Royals,AL Central,67,95,5,,"1,615,327","19,942",11th of 14,"$73,105,210 ",101,99,Kauffman Stadium,160,28.5,
2010,Atlanta Braves,NL East,91,71,2,Lost LDS (3-1),"2,510,119","30,989",9th of 16,"$84,423,666 ",97,98,Turner Field,201,20.7,
2011,Baltimore Orioles,AL East,69,93,5,,"1,755,461","21,672",11th of 14,"$88,299,038 ",103,102,Oriole Park at Camden Yards,179,12.9,
2011,Chicago White Sox,AL Central,79,83,3,,"2,001,117","24,705",7th of 14,"$127,789,000 ",106,106,U.S. Cellular Field,214,10.7,
2011,Chicago Cubs,NL Central,71,91,5,,"3,017,966","37,259",5th of 16,"$136,547,329 ",102,101,Wrigley Field,266,28.1,
2011,Arizona Diamondbacks,NL West,94,68,1,Lost LDS (3-2),"2,105,432","25,993",12th of 16,"$54,823,166 ",103,103,Chase Field,186,27.2,
2011,Boston Red Sox,AL East,90,72,3,,"3,054,001","37,704",4th of 14,"$166,662,475 ",105,105,Fenway Park,310,25.4,
2011,Cleveland Indians,AL Central,80,82,2,,"1,840,835","22,726",9th of 14,"$49,426,566 ",96,94,Progressive Field,178,30.1,
2011,Tampa Bay Rays,AL East,91,71,2,Lost LDS (3-1),"1,529,188","18,879",13th of 14,"$41,053,571 ",92,93,Tropicana Field,161,26.2,
2011,Washington Nationals,NL East,80,81,3,,"1,940,478","24,256",14th of 16,"$68,492,928 ",100,100,Nationals Park,200,25.9,
2011,Texas Rangers,AL West,96,66,1,Lost WS (4-3),"2,946,949","36,382",5th of 14,"$93,799,264 ",108,109,Rangers Ballpark in Arlington,233,15.3,
2011,Toronto Blue Jays,AL East,81,81,4,,"1,818,103","22,446",10th of 14,"$64,567,800 ",104,104,Rogers Centre,188,24.9,
2011,Cincinnati Reds,NL Central,79,83,3,,"2,213,588","27,328",10th of 16,"$77,297,134 ",103,104,Great American Ball Park,185,17.1,
2011,St Louis Cardinals,NL Central,90,72,2,Won WS (4-3),"3,093,954","38,197",3rd of 16,"$105,433,572 ",97,98,Busch Stadium III,233,25,
2011,San Francisco Giants,NL West,86,76,2,,"3,387,303","41,819",2nd of 16,"$124,198,333 ",91,92,AT&T Park,230,8.8,
2011,Seattle Mariners,AL West,67,95,4,,"1,896,321","23,411",8th of 14,"$86,110,600 ",92,90,Safeco Field,210,2.2,
2011,Philadelphia Phillies,NL East,102,60,1,Lost LDS (3-2),"3,680,718","45,441",1st of 16,"$172,976,379 ",100,101,Citizens Bank Park,249,-11.6,
2011,Pittsburgh Pirates,NL Central,72,90,4,,"1,940,429","23,956",15th of 16,"$45,047,000 ",97,95,PNC Park,168,15.9,
2011,Colorado Rockies,NL West,73,89,4,,"2,909,777","35,923",7th of 16,"$91,648,071 ",119,119,Coors Field,193,14.4,
2011,Oakland Athletics,AL West,74,88,3,,"1,476,791","18,232",14th of 14,"$67,094,000 ",98,98,O.co Coliseum,160,14.6,
2011,New York Yankees,AL East,97,65,1,Lost LDS (3-2),"3,653,680","45,107",1st of 14,"$206,275,028 ",105,106,Yankee Stadium III,439,10,
2011,New York Mets,NL East,77,85,4,,"2,352,596","29,044",9th of 16,"$151,897,309 ",96,96,Citi Field,225,-40.8,39.4
2011,Miami Marlins,NL East,72,90,5,,"1,520,562","18,772",16th of 16,"$57,694,000 ",102,101,Sun Life Stadium,148,-7.1,
2011,Minnesota Twins,AL Central,63,99,5,,"3,168,116","39,113",2nd of 14,"$112,737,000 ",99,99,Target Field,213,10.8,
2011,Detroit Tigers,AL Central,95,67,1,Lost ALCS (4-2),"2,642,045","32,618",6th of 14,"$106,875,231 ",101,102,Comerica Park,217,-0.4,
2011,Milwaukee Brewers,NL Central,96,66,1,Lost NLCS (4-2),"3,071,373","37,918",4th of 16,"$86,636,333 ",103,103,Miller Park,195,9,
2011,Los Angeles Angels,AL West,86,76,2,,"3,166,321","39,090",3rd of 14,"$138,543,166 ",92,92,Angel Stadium of Anaheim,226,-12.9,
2011,Houston Astros,NL Central,56,106,6,,"2,067,016","25,519",13th of 16,"$71,110,500 ",99,98,Minute Maid Park,196,24.7,
2011,Los Angeles Dodgers,NL West,82,79,3,,"2,935,139","36,236",6th of 16,"$103,785,477 ",96,96,Dodger Stadium,230,3.2,
2011,Kansas City Royals,AL Central,71,91,4,,"1,724,450","21,290",12th of 14,"$35,712,000 ",100,99,Kauffman Stadium,161,16.3,
2011,Atlanta Braves,NL East,89,73,2,,"2,372,940","29,296",8th of 16,"$93,855,132 ",100,101,Turner Field,203,12.4,
2012,Baltimore Orioles,AL East,93,69,2,Lost LDS (3-2),"2,102,240","25,954",7th of 14,"$77,949,000 ",103,102,Oriole Park at Camden Yards,206,30.1,
2012,Chicago White Sox,AL Central,85,77,2,,"1,965,955","24,271",9th of 14,"$118,208,000 ",104,104,U.S. Cellular Field,216,22.9,
2012,Chicago Cubs,NL Central,61,101,5,,"2,882,756","35,590",5th of 16,"$86,159,366 ",103,101,Wrigley Field,274,32.1,
2012,Arizona Diamondbacks,NL West,81,81,3,,"2,177,617","26,884",13th of 16,"$67,069,833 ",103,103,Chase Field,195,7.6,
2012,Boston Red Sox,AL East,69,93,5,,"3,043,003","37,568",4th of 14,"$110,386,000 ",103,104,Fenway Park,336,23.9,
2012,Cleveland Indians,AL Central,68,94,4,,"1,603,596","19,797",13th of 14,"$78,911,300 ",95,94,Progressive Field,186,22.9,
2012,Tampa Bay Rays,AL East,90,72,3,,"1,559,681","19,255",14th of 14,"$63,368,700 ",94,95,Tropicana Field,167,10,
2012,Washington Nationals,NL East,98,64,1,Lost LDS (3-2),"2,370,794","29,269",9th of 16,"$92,386,000 ",101,101,Nationals Park,225,28.4,
2012,Texas Rangers,AL West,93,69,2,Lost ALWC (1-0),"3,460,280","42,720",2nd of 14,"$124,119,900 ",107,109,Rangers Ballpark in Arlington,239,-8.7,
2012,Toronto Blue Jays,AL East,73,89,4,,"2,099,663","25,922",8th of 14,"$82,352,700 ",103,102,Rogers Centre,203,-4.8,
2012,Cincinnati Reds,NL Central,97,65,1,Lost LDS (3-2),"2,347,251","28,978",10th of 16,"$80,309,500 ",104,104,Great American Ball Park,202,20.9,
2012,St Louis Cardinals,NL Central,88,74,2,Lost NLCS (4-3),"3,262,109","40,273",4th of 16,"$112,071,000 ",96,98,Busch Stadium III,239,19.9,
2012,San Francisco Giants,NL West,94,68,1,Won WS (4-0),"3,377,371","41,696",2nd of 16,"$117,637,350 ",89,89,AT&T Park,262,17.6,
2012,Seattle Mariners,AL West,75,87,4,,"1,721,920","21,258",11th of 14,"$78,235,600 ",93,92,Safeco Field,215,12.9,
2012,Philadelphia Phillies,NL East,81,81,3,,"3,565,718","44,021",1st of 16,"$171,501,558 ",102,102,Citizens Bank Park,279,0.6,
2012,Pittsburgh Pirates,NL Central,79,83,4,,"2,091,918","25,826",15th of 16,"$70,077,000 ",95,95,PNC Park,178,26.8,
2012,Colorado Rockies,NL West,64,98,5,,"2,630,458","32,475",7th of 16,"$75,485,000 ",117,117,Coors Field,199,18.7,
2012,Oakland Athletics,AL West,94,68,1,Lost LDS (3-2),"1,679,013","20,729",12th of 14,"$61,202,500 ",95,95,O.co Coliseum,173,27.5,
2012,New York Yankees,AL East,95,67,1,Lost ALCS (4-0),"3,542,406","43,733",1st of 14,"$197,977,900 ",103,104,Yankee Stadium III,471,1.4,
2012,New York Mets,NL East,74,88,4,,"2,242,803","27,689",11th of 16,"$91,621,424 ",96,95,Citi Field,232,-2.4,33.6
2012,Miami Marlins,NL East,69,93,5,,"2,219,444","27,401",12th of 16,"$107,678,000 ",103,102,Marlins Park,195,-8,
2012,Minnesota Twins,AL Central,66,96,5,,"2,776,354","34,276",6th of 14,"$99,066,000 ",100,98,Target Field,214,30.2,
2012,Detroit Tigers,AL Central,88,74,1,Lost WS (4-0),"3,028,033","37,383",5th of 14,"$131,394,000 ",104,105,Comerica Park,238,7.5,
2012,Milwaukee Brewers,NL Central,83,79,3,,"2,831,385","34,955",6th of 16,"$95,717,000 ",104,105,Miller Park,201,6.8,
2012,Los Angeles Angels,AL West,89,73,3,,"3,061,770","37,800",3rd of 14,"$141,073,500 ",93,94,Angel Stadium of Anaheim,239,5.8,
2012,Houston Astros,NL Central,55,107,6,,"1,607,733","19,849",16th of 16,"$37,651,000 ",102,100,Minute Maid Park,196,55.9,
2012,Los Angeles Dodgers,NL West,86,76,2,,"3,324,246","41,040",3rd of 16,"$177,033,600 ",96,96,Dodger Stadium,245,-80.9,
2012,Kansas City Royals,AL Central,72,90,3,,"1,739,859","21,480",10th of 14,"$61,747,075 ",102,102,Kauffman Stadium,169,-6.5,
2012,Atlanta Braves,NL East,94,68,2,Lost NLWC (1-0),"2,420,171","29,879",8th of 16,"$86,208,000 ",101,102,Turner Field,225,38.4,
2013,Baltimore Orioles,AL East,85,77,3,,"2,357,561","29,106",8th of 15,"$100,832,000 ",102,103,Oriole Park at Camden Yards,198,1.6,
2013,Chicago White Sox,AL Central,63,99,5,,"1,768,413","21,832",10th of 15,"$81,401,900 ",105,104,U.S. Cellular Field,210,-2.7,
2013,Chicago Cubs,NL Central,66,96,5,,"2,642,682","32,626",7th of 15,"$67,874,166 ",103,102,Wrigley Field,266,27.3,
2013,Arizona Diamondbacks,NL West,81,81,2,,"2,134,895","26,357",14th of 15,"$80,060,500 ",103,102,Chase Field,192,-5.8,
2013,Boston Red Sox,AL East,97,65,1,Won WS (4-2),"2,833,333","34,979",5th of 15,"$175,395,500 ",103,103,Fenway Park,357,25.3,
2013,Cleveland Indians,AL Central,92,70,2,Lost ALWC (1-0),"1,572,926","19,419",14th of 15,"$87,342,433 ",95,95,Progressive Field,196,-1.9,
2013,Tampa Bay Rays,AL East,92,71,2,Lost LDS (3-1),"1,510,300","18,646",15th of 15,"$71,163,500 ",96,97,Tropicana Field,181,15.3,
2013,Washington Nationals,NL East,86,76,2,,"2,652,422","32,746",6th of 15,"$112,493,250 ",101,103,Nationals Park,244,22.4,
2013,Texas Rangers,AL West,91,72,2,,"3,178,273","38,759",2nd of 15,"$139,261,200 ",103,103,Rangers Ballpark in Arlington,257,-4.9,
2013,Toronto Blue Jays,AL East,74,88,5,,"2,536,562","31,316",6th of 15,"$124,517,800 ",103,102,Rogers Centre,218,-14.9,
2013,Cincinnati Reds,NL Central,90,72,3,Lost NLWC (1-0),"2,492,101","31,151",10th of 15,"$106,255,535 ",101,101,Great American Ball Park,209,-11.6,
2013,St Louis Cardinals,NL Central,97,65,1,Lost WS (4-2),"3,369,769","41,602",2nd of 15,"$112,583,000 ",100,101,Busch Stadium III,283,65.2,
2013,San Francisco Giants,NL West,76,86,3,,"3,369,106","41,087",3rd of 15,"$139,845,667 ",92,93,AT&T Park,316,53.3,
2013,Seattle Mariners,AL West,71,91,4,,"1,761,546","21,747",11th of 15,"$78,887,000 ",92,92,Safeco Field,210,5.3,
2013,Philadelphia Phillies,NL East,73,89,4,,"3,012,403","37,190",4th of 15,"$150,860,000 ",100,100,Citizens Bank Park,265,-20.9,
2013,Pittsburgh Pirates,NL Central,94,68,2,Lost LDS (3-2),"2,256,862","27,862",11th of 15,"$99,230,000 ",95,95,PNC Park,204,21.8,
2013,Colorado Rockies,NL West,74,88,5,,"2,793,828","34,492",5th of 15,"$73,768,000 ",119,118,Coors Field,197,13.7,
2013,Oakland Athletics,AL West,96,66,1,Lost LDS (3-2),"1,809,302","22,337",9th of 15,"$69,440,000 ",97,98,O.co Coliseum,187,27.4,
2013,New York Yankees,AL East,85,77,3,,"3,279,589","40,489",1st of 15,"$246,534,750 ",100,100,Yankee Stadium III,461,-9.1,
2013,New York Mets,NL East,74,88,3,,"2,135,657","26,366",13th of 15,"$69,425,860 ",95,94,Citi Field,238,1.6,26.6
2013,Miami Marlins,NL East,62,100,5,,"1,586,322","19,584",15th of 15,"$24,761,900 ",103,102,Marlins Park,159,15.4,
2013,Minnesota Twins,AL Central,66,96,4,,"2,477,644","30,588",7th of 15,"$63,042,500 ",102,101,Target Field,221,21.3,
2013,Detroit Tigers,AL Central,93,69,1,Lost ALCS (4-2),"3,083,397","38,067",3rd of 15,"$154,407,000 ",104,104,Comerica Park,262,-20.7,
2013,Milwaukee Brewers,NL Central,74,88,4,,"2,531,105","31,248",9th of 15,"$86,945,000 ",103,103,Miller Park,197,11.3,
2013,Los Angeles Angels,AL West,78,84,3,,"3,019,505","37,278",4th of 15,"$116,532,500 ",94,94,Angel Stadium of Anaheim,253,16.7,
2013,Houston Astros,AL West,51,111,5,,"1,651,883","20,394",13th of 15,"$14,672,300 ",101,99,Minute Maid Park,186,21.6,
2013,Los Angeles Dodgers,NL West,92,70,1,Lost NLCS (4-2),"3,743,527","46,216",1st of 15,"$254,161,000 ",95,96,Dodger Stadium,293,-12.2,
2013,Kansas City Royals,AL Central,86,76,3,,"1,750,754","21,614",12th of 15,"$87,426,250 ",103,103,Kauffman Stadium,178,26.6,
2013,Atlanta Braves,NL East,96,66,1,Lost LDS (3-1),"2,548,679","31,465",8th of 15,"$95,618,750 ",100,101,Turner Field,253,33.2,
2014,Baltimore Orioles,AL East,96,66,1,Lost ALCS (4-0),"2,464,473","30,426",6th of 15,"$109,097,500 ",103,103,Oriole Park at Camden Yards,245,31.4,
2014,Chicago White Sox,AL Central,73,89,4,,"1,650,821","20,381",13th of 15,"$87,475,500 ",98,97,U.S. Cellular Field,227,31.9,
2014,Chicago Cubs,NL Central,73,89,5,,"2,652,113","32,742",6th of 15,"$59,800,500 ",103,102,Wrigley Field,302,73.3,
