Year,Tm,Lg,W,L,Finish,Playoffs,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF,Stadium,Revenue,Operating Income,Net Income
2003,Baltimore Orioles,AL East,71,91,4,,"2,454,523","30,303",5th of 14,"$73,877,500 ",99,99,Oriole Park at Camden Yards,129,9.1,
2003,Chicago White Sox,AL Central,86,76,2,,"1,939,524","23,945",9th of 14,"$51,010,000 ",102,102,U.S. Cellular Field,124,12.8,
2003,Chicago Cubs,NL Central,88,74,1,Lost NLCS (4-3),"2,962,630","36,576",3rd of 16,"$79,868,333 ",101,101,Wrigley Field,156,8.3,
2003,Arizona Diamondbacks,NL West,84,78,3,,"2,805,542","34,636",5th of 16,"$80,657,000 ",109,108,Bank One Ballpark,126,-15.2,
2003,Boston Red Sox,AL East,95,67,2,Lost ALCS (4-3),"2,724,165","33,632",4th of 14,"$99,946,500 ",103,105,Fenway Park,190,11.4,
2003,Cleveland Indians,AL Central,68,94,4,,"1,730,002","21,358",12th of 14,"$48,584,834 ",97,96,Jacobs Field,127,10.4,
2003,Tampa Bay Rays,AL East,63,99,5,,"1,058,695","13,070",14th of 14,"$19,630,000 ",97,95,Tropicana Field,101,7.5,
2003,Montreal Expos,NL East,83,79,4,,"1,025,639","12,662",16th of 16,"$51,948,500 ",105,105,"Stade Olympique, Estadio Hiram Bithorn",81,-8.3,
2003,Texas Rangers,AL West,71,91,4,,"2,094,394","25,857",7th of 14,"$103,491,667 ",111,111,The Ballpark in Arlington,127,-28.5,
2003,Toronto Blue Jays,AL East,86,76,3,,"1,799,458","22,216",11th of 14,"$51,269,000 ",104,104,SkyDome,99,,
2003,Cincinnati Reds,NL Central,69,93,5,,"2,355,259","29,077",8th of 16,"$59,355,667 ",96,95,Great American Ball Park,123,11.7,
2003,St Louis Cardinals,NL Central,85,77,3,,"2,910,386","35,931",4th of 16,"$83,786,666 ",96,97,Busch Stadium II,131,-11.1,
2003,San Francisco Giants,NL West,100,61,1,Lost LDS (3-1),"3,264,898","40,307",1st of 16,"$82,852,167 ",98,99,Pacific Bell Park,153,0.7,
2003,Seattle Mariners,AL West,93,69,2,,"3,268,509","40,352",2nd of 14,"$86,959,167 ",95,95,Safeco Field,169,17,
2003,Philadelphia Phillies,NL East,86,76,3,,"2,259,948","27,901",10th of 16,"$70,780,000 ",93,93,Veterans Stadium,115,-12.5,
2003,Pittsburgh Pirates,NL Central,75,87,4,,"1,636,751","20,207",14th of 16,"$54,812,429 ",102,102,PNC Park,109,-0.3,
2003,Colorado Rockies,NL West,74,88,4,,"2,334,085","28,816",9th of 16,"$67,179,667 ",116,115,Coors Field,124,-6.3,
